date,census_tr,non_payment,illegal_use,eviction,datetime,time,Category,year,month,DayOfWeek
2003-01-02,158.02,0,0,1,2003-01-02,<built-in method time of Timestamp object at 0x10e6540c0>,EVICTION,2003,1,NULL
2003-01-02,228.01,0,0,1,2003-01-02,<built-in method time of Timestamp object at 0x10e654138>,EVICTION,2003,1,NULL
2003-01-02,302.02,0,0,1,2003-01-02,<built-in method time of Timestamp object at 0x10e6541b0>,EVICTION,2003,1,NULL
2003-01-02,232.0,0,0,1,2003-01-02,<built-in method time of Timestamp object at 0x10e654228>,EVICTION,2003,1,NULL
2003-01-03,204.01,0,0,1,2003-01-03,<built-in method time of Timestamp object at 0x10e6542a0>,EVICTION,2003,1,NULL
2003-01-03,204.01,0,0,1,2003-01-03,<built-in method time of Timestamp object at 0x10e654318>,EVICTION,2003,1,NULL
2003-01-03,122.02,0,0,1,2003-01-03,<built-in method time of Timestamp object at 0x10e654390>,EVICTION,2003,1,NULL
2003-01-03,477.02,0,0,1,2003-01-03,<built-in method time of Timestamp object at 0x10e654408>,EVICTION,2003,1,NULL
2003-01-03,156.0,0,0,1,2003-01-03,<built-in method time of Timestamp object at 0x10e654480>,EVICTION,2003,1,NULL
2003-01-03,311.0,0,0,1,2003-01-03,<built-in method time of Timestamp object at 0x10e6544f8>,EVICTION,2003,1,NULL
2003-01-03,204.01,0,0,1,2003-01-03,<built-in method time of Timestamp object at 0x10e654570>,EVICTION,2003,1,NULL
2003-01-03,218.0,0,0,1,2003-01-03,<built-in method time of Timestamp object at 0x10e6545e8>,EVICTION,2003,1,NULL
2003-01-06,151.0,0,0,1,2003-01-06,<built-in method time of Timestamp object at 0x10e654660>,EVICTION,2003,1,NULL
2003-01-06,101.0,0,0,1,2003-01-06,<built-in method time of Timestamp object at 0x10e673048>,EVICTION,2003,1,NULL
2003-01-06,207.0,0,0,1,2003-01-06,<built-in method time of Timestamp object at 0x10e6730c0>,EVICTION,2003,1,NULL
2003-01-06,133.0,0,0,1,2003-01-06,<built-in method time of Timestamp object at 0x10e673138>,EVICTION,2003,1,NULL
2003-01-06,477.02,0,0,1,2003-01-06,<built-in method time of Timestamp object at 0x10e6731b0>,EVICTION,2003,1,NULL
2003-01-06,164.0,0,0,1,2003-01-06,<built-in method time of Timestamp object at 0x10e673228>,EVICTION,2003,1,NULL
2003-01-06,232.0,1,0,1,2003-01-06,<built-in method time of Timestamp object at 0x10e6732a0>,EVICTION,2003,1,NULL
2003-01-06,263.02,0,0,1,2003-01-06,<built-in method time of Timestamp object at 0x10e673318>,EVICTION,2003,1,NULL
2003-01-06,326.01,1,0,1,2003-01-06,<built-in method time of Timestamp object at 0x10e673390>,EVICTION,2003,1,NULL
2003-01-07,252.0,0,0,1,2003-01-07,<built-in method time of Timestamp object at 0x10e673408>,EVICTION,2003,1,NULL
2003-01-07,262.0,0,0,1,2003-01-07,<built-in method time of Timestamp object at 0x10e673480>,EVICTION,2003,1,NULL
2003-01-07,451.0,0,0,1,2003-01-07,<built-in method time of Timestamp object at 0x10e673660>,EVICTION,2003,1,NULL
2003-01-07,121.0,0,0,1,2003-01-07,<built-in method time of Timestamp object at 0x10e673570>,EVICTION,2003,1,NULL
